coefficient,wake_iter,value,reference_wake_iter,reference_value,difference_from_reference,relative_difference_from_reference
CS_Beta,40,-0.2074396,50,-0.1999655,-0.007474100000000011,0.037376947523447855
CS_Beta,50,-0.1999655,50,-0.1999655,0.0,-0.0
CMl_ConGrp_3,5,0.0090159,50,0.0067736,0.0022423,0.33103519546474547
CMl_ConGrp_3,6,0.0082209,50,0.0067736,0.0014472999999999995,0.21366776898547293
CMl_ConGrp_3,7,0.0065499,50,0.0067736,-0.0002237000000000003,-0.03302527459548841
CMl_ConGrp_3,9,0.0068856,50,0.0067736,0.00011200000000000012,0.01653478209519312
CMl_ConGrp_3,12,0.0075602,50,0.0067736,0.0007866000000000001,0.11612731782213301
CMl_ConGrp_3,17,0.0073488,50,0.0067736,0.0005751999999999997,0.08491791661745596
CMl_ConGrp_3,21,0.00756,50,0.0067736,0.0007863999999999996,0.11609779142553436
CMl_ConGrp_3,25,0.0076252,50,0.0067736,0.0008516000000000001,0.12572339671666471
CMl_ConGrp_3,29,0.0076402,50,0.0067736,0.0008665999999999995,0.12793787646155655
CMl_ConGrp_3,32,0.0069882,50,0.0067736,0.0002145999999999997,0.03168182355025388
CMl_ConGrp_3,38,0.0075035,50,0.0067736,0.0007298999999999995,0.1077565843864414
CMl_ConGrp_3,40,0.0068755,50,0.0067736,0.00010189999999999939,0.015043699066965776
CMl_ConGrp_3,50,0.0067736,50,0.0067736,0.0,0.0
CMn_ConGrp_3,5,-0.0385657,50,-0.0374117,-0.0011540000000000022,0.030845965299625577
CMn_ConGrp_3,6,-0.0385727,50,-0.0374117,-0.0011610000000000023,0.03103307254147773
CMn_ConGrp_3,7,-0.0382965,50,-0.0374117,-0.0008847999999999981,0.02365035537011144
CMn_ConGrp_3,9,-0.0369291,50,-0.0374117,0.0004825999999999997,-0.012899707845406644
CMn_ConGrp_3,12,-0.0394841,50,-0.0374117,-0.002072400000000002,0.05539443543062737
CMn_ConGrp_3,17,-0.0394108,50,-0.0374117,-0.0019991000000000037,0.05343515531237564
CMn_ConGrp_3,21,-0.0399602,50,-0.0374117,-0.002548500000000002,0.06812040083717132
CMn_ConGrp_3,25,-0.0399974,50,-0.0374117,-0.0025857000000000033,0.06911474217958562
CMn_ConGrp_3,29,-0.0396727,50,-0.0374117,-0.002260999999999999,0.060435639118243734
CMn_ConGrp_3,32,-0.037529,50,-0.0374117,-0.00011730000000000074,0.0031353827813224403
CMn_ConGrp_3,38,-0.0395982,50,-0.0374117,-0.002186500000000001,0.058444283472817354
CMn_ConGrp_3,40,-0.0382163,50,-0.0374117,-0.0008046000000000025,0.02150664097060552
CMn_ConGrp_3,50,-0.0374117,50,-0.0374117,0.0,-0.0
