# DEGENERATE GEOMETRY CSV FILE

# NUMBER OF COMPONENTS
6

# DegenGeom Type, Name, SurfNdx, GeomID, MainSurfNdx, SymCopyNdx, FlipNormal,t00,t01,t02,t03,t10,t11,t12,t13,t20,t21,t22,t23,t30,t31,t32,t33
BODY,FuselageGeom,0,ZCZWAYJMXW,0,0,0,1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00
# DegenGeom Type,nXsecs, nPnts/Xsec
SURFACE_NODE,70,17
# x,y,z,u,w
1.474433647006179182e-02, 3.937606102289054055e-02, 1.690629429909870293e-02, 1.019053119825940268e+00, 3.750000000000000000e+00
1.551987278305594006e-02, 4.183973000033516798e-02, 1.588681722890381768e-04, 1.019053119825940268e+00, 4.000000000000000000e+00
3.685499830077702127e-02, 5.660210497741366420e-02, 8.224984792852516350e-04, 1.043664057932721656e+00, 0.000000000000000000e+00
3.695492386199679402e-02, 5.232347955966679814e-02, -2.155298777345621836e-02, 1.043664057932721656e+00, 2.500000000000000000e-01
3.590784560991261420e-02, 4.096133465491297310e-02, -4.048734617395539914e-02, 1.043664057932721656e+00, 5.000000000000000000e-01
3.456234034575186853e-02, 2.267290292721977144e-02, -5.433783671275475846e-02, 1.043664057932721656e+00, 7.500000000000000000e-01
3.389085703423342505e-02, 7.771429768395084441e-18, -5.978537221748678188e-02, 1.043664057932721656e+00, 1.000000000000000000e+00
3.456234034575186159e-02, -2.267290292721975756e-02, -5.433783671275474458e-02, 1.043664057932721656e+00, 1.250000000000000000e+00
3.590784560991262114e-02, -4.096133465491301473e-02, -4.048734617395540608e-02, 1.043664057932721656e+00, 1.500000000000000000e+00
3.695492386199678014e-02, -5.232347955966679121e-02, -2.155298777345621836e-02, 1.043664057932721656e+00, 1.750000000000000000e+00
3.685499830077701433e-02, -5.660210497741365032e-02, 8.224984792852539119e-04, 1.043664057932721656e+00, 2.000000000000000000e+00
3.509137281379548501e-02, -5.394262461986066431e-02, 2.396830431966835706e-02, 1.043664057932721656e+00, 2.250000000000000000e+00
3.229879819295525950e-02, -4.331645474246773042e-02, 4.448776634490043957e-02, 1.043664057932721656e+00, 2.500000000000000000e+00
2.950546219044406990e-02, -2.429204798741364454e-02, 5.974069472830164512e-02, 1.043664057932721656e+00, 2.750000000000000000e+00
2.821405718245315747e-02, -1.542635980794664275e-17, 6.577588404054418580e-02, 1.043664057932721656e+00, 3.000000000000000000e+00
2.950546219044405255e-02, 2.429204798741361332e-02, 5.974069472830161737e-02, 1.043664057932721656e+00, 3.250000000000000000e+00
3.229879819295526644e-02, 4.331645474246768185e-02, 4.448776634490042570e-02, 1.043664057932721656e+00, 3.500000000000000000e+00
3.509137281379547807e-02, 5.394262461986065738e-02, 2.396830431966835012e-02, 1.043664057932721656e+00, 3.750000000000000000e+00
3.685499830077698658e-02, 5.660210497741366420e-02, 8.224984792852516350e-04, 1.043664057932721656e+00, 4.000000000000000000e+00
6.613145029630582150e-02, 7.501620774860061347e-02, 2.389393260343345045e-03, 1.075117216399844589e+00, 0.000000000000000000e+00
6.645680108317693346e-02, 6.934592621896422393e-02, -2.758172610827677035e-02, 1.075117216399844589e+00, 2.500000000000000000e-01
6.490362672558029622e-02, 5.445810363755042294e-02, -5.307787092399712109e-02, 1.075117216399844589e+00, 5.000000000000000000e-01
6.282415617635009331e-02, 3.016036312811970835e-02, -7.195351172080256819e-02, 1.075117216399844589e+00, 7.500000000000000000e-01
6.177400713083416872e-02, 1.252042485972253069e-17, -7.944846820794476683e-02, 1.075117216399844589e+00, 1.000000000000000000e+00
6.282415617635009331e-02, -3.016036312811969794e-02, -7.195351172080256819e-02, 1.075117216399844589e+00, 1.250000000000000000e+00
6.490362672558031010e-02, -5.445810363755044375e-02, -5.307787092399712109e-02, 1.075117216399844589e+00, 1.500000000000000000e+00
6.645680108317691959e-02, -6.934592621896421005e-02, -2.758172610827677035e-02, 1.075117216399844589e+00, 1.750000000000000000e+00
6.613145029630580762e-02, -7.501620774860059959e-02, 2.389393260343348948e-03, 1.075117216399844589e+00, 2.000000000000000000e+00
6.312813583465665124e-02, -7.198093217855422443e-02, 3.361329084594349287e-02, 1.075117216399844589e+00, 2.250000000000000000e+00
5.850402771256886514e-02, -5.829083957877227717e-02, 6.169026100379434996e-02, 1.075117216399844589e+00, 2.500000000000000000e+00
5.392994512349340297e-02, -3.279536908770972620e-02, 8.285458258402114695e-02, 1.075117216399844589e+00, 2.750000000000000000e+00
5.182585983560999282e-02, -2.480044493861751016e-17, 9.131017272943414698e-02, 1.075117216399844589e+00, 3.000000000000000000e+00
5.392994512349337521e-02, 3.279536908770967762e-02, 8.285458258402110532e-02, 1.075117216399844589e+00, 3.250000000000000000e+00
